Datum;Infizierte;Tote
01-22-2020;0;0
01-23-2020;0;0
01-24-2020;0;0
01-25-2020;0;0
01-26-2020;0;0
01-27-2020;0;0
01-28-2020;0;0
01-29-2020;0;0
01-30-2020;0;0
01-31-2020;2;0
02-01-2020;2;0
02-02-2020;2;0
02-03-2020;2;0
02-04-2020;2;0
02-05-2020;2;0
02-06-2020;2;0
02-07-2020;3;0
02-08-2020;3;0
02-09-2020;3;0
02-10-2020;3;0
02-11-2020;3;0
02-12-2020;3;0
02-13-2020;3;0
02-14-2020;3;0
02-15-2020;3;0
02-16-2020;3;0
02-17-2020;3;0
02-18-2020;3;0
02-19-2020;3;0
02-20-2020;3;0
02-21-2020;20;1
02-22-2020;62;2
02-23-2020;155;3
02-24-2020;229;7
02-25-2020;322;10
02-26-2020;453;12
02-27-2020;655;17
02-28-2020;888;21
02-29-2020;1128;29
03-01-2020;1694;34
03-02-2020;2036;52
03-03-2020;2502;79
03-04-2020;3089;107
03-05-2020;3858;148
03-06-2020;4636;197
03-07-2020;5883;233
03-08-2020;7375;366
03-09-2020;9172;463
03-10-2020;10149;631
03-11-2020;12462;827
03-12-2020;12462;827
03-13-2020;17660;1266
