Infizierte;Tote
3658;25
4755;33
6182;43
8037;56
10448;73
13582;95
17657;123
22954;160
29841;208
38793;271
50431;353
65560;458
85229;596
110797;775
144037;1008
187248;1310
243422;1703
316449;2215
411384;2879
534799;3743
695239;4866
903811;6326
1174954;8224
1527441;10692
1985673;13899
2581375;18069
3355788;23490
4362525;30537
5671282;39698
7372667;51608
9584468;67091
12459808;87218
16197751;113384
21057076;147399
27374199;191619
35586459;249105
46262396;323836
60141115;420987
78183450;547284
101638485;711469
132130031;924910
171769040;1202383
223299752;1563098
290289678;2032027
377376582;2641636
490589556;3434126
637766423;4464364
829096351;5803674
1077825256;7544776
754477679;12826120
528134375;16523061
369694062;19110919
258785844;20922420
181150090;22190471
126805063;23078106
88763544;23699451
62134481;24134392
43494136;24438851
30445895;24651973
21312127;24801157
14918488;24905587
10442942;24978687
7310059;25029858
5117041;25065677
3581929;25090751
2507350;25108302
1755145;25120588
1228601;25129188
860021;25135208
602014;25139423
421410;25142372
294987;25144437
206491;25145883
144543;25146895
101180;25147603
70826;25148099
49578;25148446
34704;25148689
24293;25148859
17005;25148978
11903;25149061
8332;25149119
5832;25149160
4083;25149189
2858;25149209
2000;25149223
1400;25149233
980;25149239
686;25149244
480;25149248
336;25149250
235;25149252
164;25149253
115;25149254
80;25149254
56;25149255
39;25149255
27;25149255
19;25149255
13;25149255
9;25149255
